Name,Korean Name,Gender,Debut,Company,Members,Orig Memb,Active
Dalmatian,달마시안,Male,01/09/2010,Monkey Funch,7,7,No
Davichi,다비치,Female,04/02/2008,CJ E&M,2,2,Yes
DAY6,데이식스,Male,07/09/2015,JYP,5,6,Yes
D-Crunch,디크런치,Male,06/08/2018,All-S,9,9,Yes
Destiny,데스티니,Female,28/09/2018,D-SIDE,4,4,Yes
DIA,다이아,Female,14/07/2015,MBK,6,7,Yes
DKB,다크비,Male,03/02/2020,Brave,9,9,Yes
DONGKIZ,동키즈,Male,24/04/2019,Dongyo,5,5,Yes
Dorothy,도로시,Female,16/08/2016,Leek Mill,3,5,No
DreamCatcher,드림캐쳐,Female,13/01/2017,Happy Face,7,7,Yes
Dreamnote,드림노트,Female,07/11/2018,iME,6,8,Yes
DRIPPIN,드리핀,Male,26/10/2020,Woollim,7,7,Yes
D-Unit,디유닛,Female,01/08/2012,D-Business,2,3,No
Dustin,더스틴,Male,06/01/2020,LPA,7,7,Yes
E'LAST,엘라스트,Male,09/06/2020,E Entertainment,8,8,Yes
ENHYPEN,엔하이픈,Male,30/11/2020,Be:lift,7,7,Yes
ENOi,이엔오아이,Male,19/04/2019,KITHEWHALE,7,7,No
EPEX,이펙스,Male,08/06/2021,C9,8,8,Yes
Episode,에피소드,Female,04/02/2020,Pops,5,5,Yes
Everglow,에버글로우,Female,18/03/2019,Yuehua,6,6,Yes
EvoL,이블,Female,10/08/2012,Stardom,5,5,No
EXID,이엑스아이디,Female,16/02/2012,Yedang,5,6,Hiatus
EXO,엑소,Male,08/04/2012,SM,9,12,Yes
f(x),에프엑스,Female,05/09/2009,SM,4,5,No
F.able,페이블,Male,04/06/2020,Haerium,5,5,Yes
FANATICS,파나틱스,Female,06/08/2019,FENT,8,6,Yes
Favorite,페이버릿,Female,05/07/2017,Astory,6,6,Yes
Fiestar,피에스타,Female,31/08/2012,LOEN,5,6,No
FIFTY FIFTY,피프티피프티,Female,18/11/2022,ATTRAKT,4,4,Yes
FLAVOR,플레이버,Female,26/11/2018,FENT,3,3,No
Fly to the Sky,플라이 투 더 스카이,Male,21/11/1999,SM| H2,2,2,Yes
fromis_9,프로미스나인,Female,24/01/2018,Off The Record,9,9,Yes
FTISLAND,에프티 아일랜드,Male,07/06/2007,FNC,4,5,Yes
F-ve Dolls,파이브돌스,Female,20/01/2011,MBK,6,5,No
g.o.d.,지오디,Male,26/01/1999,JYP| SidusHQ,5,5,Yes
Gavy NJ,가비엔제이,Female,11/11/2005,Good Fellas,3,3,Yes
Gawi Bawi Bo,지비비,Female,01/05/2018,LOUDers,5,5,Yes
GeeGu,지구,Female,26/10/2017,NOS,7,9,No
Gfriend,여자친구,Female,15/01/2015,Source,6,6,No
Ghost9,고스트나인,Male,23/09/2020,Maroo,7,9,Yes
GI,지아이,Female,03/04/2013,Simtong,3,5,No
Girlkind,걸카인드,Female,16/01/2018,Nextlevel,5,5,Yes
Girl's Day,걸스데이,Female,09/07/2010,DreamT,4,5,Hiatus
Girls' Generation,소녀시대,Female,05/08/2007,SM,5,9,Yes
Girls Girls,여자여자,Female,09/12/2015,H Brothers,4,5,No
Girls' World,소녀세상,Female,20/06/2002,Liz,4,4,Yes
GLAM,글램,Female,16/07/2012,Big Hit,4,4,No
Golden Child,골든 차일드,Male,28/08/2017,Woollim,10,11,Yes
Good Day,굿데이,Female,30/08/2017,C9,10,10,No
GOT7,갓세븐,Male,16/01/2014,JYP,7,7,Hiatus
GP Basic,지피 베이직,Female,18/03/2011,Jacyhan,4,6,No
GreatGuys,멋진녀석들,Male,25/08/2017,DNA,9,9,Yes
G-reyish,그레이시,Female,01/06/2017,Elijah,4,4,No
GsA,소녀주의보,Female,25/05/2017,Roots,5,5,Yes
Gugudan,구구단,Female,28/06/2016,Jellyfish,8,9,No
GWSN,공원소녀,Female,05/09/2018,Kiwi Pop,7,7,Yes
H.B.Y,열혈남아,Male,16/08/2017,Rainbow,5,5,Yes
H.O.T,에이치오티,Male,07/09/1996,SM,5,5,No
H.U.B,허브,Female,09/02/2017,New Planet,5,4,No
H1-KEY,하이키,Female,05/01/2022,GLG,4,4,Yes
HALO,헤일로,Male,26/07/2014,Histar,6,6,Yes
Hash Tag,해시태그,Female,11/10/2017,LUK,7,7,Yes
HAWW,하우,Male,23/02/2023,Biscuit,7,7,Yes
Hello Venus,헬로비너스,Female,09/05/2012,Fantagio,6,6,No
Heygirls,헤이걸스,Female,20/11/2017,Moai,4,4,Yes
Hi Cutie,하이큐티,Female,12/10/2017,Space,4,5,Yes
HIGH4,하이포,Male,08/04/2014,NAP,4,4,No
Highlight,하이라이트,Male,14/10/2009,Around Us,4,6,Yes
HighSchool,여고생,Female,30/04/2019,Richworld,4,4,No
Highteen,하이틴,Female,14/10/2016,Elijah,4,4,No
Hi-L,하이엘,Female,11/08/2021,Kpop Live,6,6,Yes
Hinapia,희나피아,Female,03/11/2019,Alseulbit,5,5,No
Hint,힌트,Female,31/03/2017,Starpro,5,7,Yes
HISTORY,히스토리,Male,26/04/2013,LOEN,5,5,No
Homme,옴므,Male,28/06/2010,Big Hit,2,2,No
Honey Popcorn,허니팝콘,Female,21/03/2018,Kyun Create,3,3,No
Honeyst,허니스트,Male,17/05/2017,FNC,4,4,Yes
Hotshot,핫샷,Male,29/10/2014,Star Crew,5,6,No
I.C.E,아이스,Female,16/11/2015,HS,3,4,Yes
ICHILLIN',아이칠린,Female,08/09/2021,KM,7,7,Yes
ICU,아이씨유,Female,22/10/2019,Liz,5,5,Yes
iKON,아이콘,Male,15/09/2015,YG,6,7,Yes
ILUV,아이러브,Female,30/04/2019,WKS ENE,7,7,No
ILY:1,아일리원,Female,04/04/2022,FC ENM,6,6,Yes
Imfact,임팩트,Male,27/01/2016,Star Empire,5,5,Yes
Infinite,인피니트,Male,09/06/2010,Woollim,6,7,Yes
INX,인엑스,Male,02/08/2016,NA,5,5,No
IOI,아이오아이,Female,04/05/2016,YMC,11,11,No
IRRIS,아이리스,Female,06/07/2022,Mellow,4,4,Yes
ITZY,있지,Female,12/02/2019,JYP,5,5,Yes
IVE,아이브,Female,01/12/2021,Starship,6,6,Yes
IZ,아이즈,Male,31/08/2017,Music K,4,4,Yes
IZ*ONE,아이즈원,Female,29/10/2018,Off The Record,12,12,No
JBJ,제이비제이,Male,18/10/2017,Fave,6,6,No
JBJ95,제이비제이95,Male,30/10/2018,Hunus,2,2,Yes
Jewelry,쥬얼리,Female,30/03/2001,Star Empire,4,4,No
JJCC,제이제이씨씨,Male,13/03/2014,Jackie Chan Group,5,6,No
JUST B,저스트비,Male,30/06/2021,Bluedot,6,6,Yes
Jwiiver,제이위버,Male,17/02/2022,JTG,7,7,Yes
JYJ,제이와이제이,Male,08/09/2010,C-JeS,3,3,Yes
KARA,카라,Female,29/03/2007,DSP,5,5,Yes
KEEMBO,킴보,Female,10/04/2020,ARA-LINE,2,2,Yes
Kep1er,케플러,Female,01/03/2022,WakeOne,9,9,Yes
KHAN,칸,Female,23/05/2018,Maroo,2,2,No
Kingdom,킹덤,Male,18/02/2021,GF,7,8,Yes
Kitten Girls,키튼걸스,Female,04/09/2018,Wannabe,4,4,No
K-Much,케이머치,Male,07/01/2014,Chrome,4,5,No
KNK,크나큰,Male,03/03/2016,YNB,5,5,Yes
Laboum,라붐,Female,27/08/2014,NH,4,6,Yes
Ladies' Code,레이디스 코드,Female,07/03/2013,Polaris,3,5,Hiatus
Lapillus,라필루스,Female,22/06/2022,MLD,6,6,Yes
LE SSERAFIM,르세라핌,Female,02/05/2022,Source,5,6,Yes
LIGHTSUM,라잇썸,Female,10/06/2021,Cube,6,8,Yes
LIMELIGHT,라임라잇,Female,17/02/2023,143,3,3,Yes
Limitless,리미트리스,Male,09/07/2019,ONO,4,4,Yes
LipBubble,립버블,Female,22/03/2017,Zenith,7,7,No
Loona,이달의 소녀,Female,20/08/2018,Blockberry,12,12,Yes
Lovelyz,러블리즈,Female,17/11/2014,Woollim,8,8,No
LU:KUS,루커스,Male,04/07/2014,JWK,4,5,Yes
Lucente,루첸트,Male,18/09/2018,NOGA,7,7,Yes
LUMINOUS,루미너스,Male,09/09/2021,Barunson,4,4,Yes
LUNARSOLAR,루나솔라,Female,02/09/2020,J Planet,4,4,No
Lusty,러스티,Female,26/06/2019,babaplay,5,5,Yes
M.I.B,엠아이비,Male,26/10/2011,Jungle,4,4,No
M.O.N.T,몬트,Male,04/01/2019,FM,3,3,Yes
Madtown,매드타운,Male,06/10/2014,GNI,7,7,No
MAJORS,메이져스,Female,09/03/2021,ANS,6,6,Yes
Maka Maka,마카마카,Female,04/08/2020,Dreamus,5,5,Yes
Mamamoo,마마무,Female,18/06/2014,RBW,4,4,Yes
MAP6,맵식스,Male,10/11/2015,DreamT,5,5,Yes
Marmello,마르멜로,Female,24/05/2017,Rolling,5,5,No
Masc,마스크,Male,19/08/2016,JJ Holic,4,8,Yes
Matilda,마틸다,Female,18/03/2016,Box,4,4,No
MBLAQ,엠블랙,Male,14/10/2009,J. Tune,3,5,Yes
MCND,엠씨엔디,Male,27/02/2020,TOP Media,5,5,Yes
Melody Day,멜로디데이,Female,25/02/2014,Cre.Ker,4,3,No
Melody Pink,멜로디핑크,Female,25/09/2019,KD,4,4,Yes
Mfect,엠펙트,Male,27/04/2015,Midas,5,5,Yes
mimiirose,미미로즈,Female,16/09/2022,YES IM,5,5,Yes
Minx,밍스,Female,18/09/2014,Happy Face,5,5,No
MIRAE,미래소년,Male,17/03/2021,DSP,7,7,Yes
miss A,미쓰에이,Female,01/07/2010,JYP,3,4,No
Mixx,믹스,Female,02/05/2016,Chiko,5,4,No
Momoland,모모랜드,Female,09/11/2016,Double Kick,6,7,Yes
MONSTA X,몬스타엑스,Male,14/05/2014,Starship,6,7,Yes
MR.MR,미스터미스터,Male,04/10/2012,WinningIn,6,5,Yes
MustB,머스트비,Male,21/01/2019,MustM,7,7,Yes
MVP,엠브이피,Male,13/03/2017,PH,6,7,Yes
MXM,엠엑스엠,Male,06/09/2017,Brand New,2,2,Yes
MY.st,마이스트,Male,26/03/2020,MYStar,5,5,No
myB,마이비,Female,25/08/2015,Maroo,6,6,No
MYNAME,마이네임,Male,27/10/2011,H2,5,5,Yes
Myteen,마이틴,Male,26/07/2017,The Music Works,6,7,No
N.CUS,엔쿠스,Male,27/08/2019,Kyuri,12,12,Yes
N.Flying,엔플라잉,Male,20/05/2015,FNC,4,4,Yes
Nature,네이처,Female,03/08/2018,n.CH,9,9,Yes
NCT,엔시티,Male,09/04/2016,SM,23,23,Yes
NeonPunch,네온펀치,Female,27/06/2018,A100,5,5,No
NewJeans,뉴진스,Female,22/07/2022,ADOR,5,5,Yes
Newkidd,뉴키드,Male,25/04/2019,J-FLO,7,7,Yes
NINE.i,나인아이,Male,30/03/2022,FirstOne,10,10,Yes
NMIXX,엔믹스,Female,22/02/2022,JYP,6,7,Yes
Noir,느와르,Male,09/04/2018,LUK,9,9,Yes
N-Sonic,엔소닉,Male,05/10/2011,C2K,6,5,No
NTB,엔티비,Male,28/05/2018,High Choice,6,6,Yes
N-Train,엔트레인,Male,27/05/2011,MediaLine,5,5,No
NU'EST,뉴이스트,Male,15/03/2012,Pledis,5,5,Yes
O21,오투원,Female,21/06/2016,Houxiu,3,6,No
OFF THE CUFF,오프더커프,Male,02/04/2020,Purple,5,5,No
Oh My Girl,오마이걸,Female,21/04/2015,WM,6,8,Yes
OhBliss,오블리스,Female,17/10/2016,JT Corea,5,5,Yes
Oneus,원어스,Male,09/01/2019,RBW,5,6,Yes
ONF,온앤오프,Male,02/08/2017,WM,6,7,Yes
OnlyOneOf,온리원오브,Male,28/05/2019,RSVP,6,7,Yes
P.O.P,피오피,Female,26/07/2017,DWM,6,6,No
P1Harmony,피원하모니,Male,28/10/2020,FNC,6,6,Yes
PENTAGON,펜타곤,Male,10/10/2016,Cube,9,10,Yes
Phantom,팬텀,Male,25/11/2011,Brand New| RBW,3,3,No
Pink Fantasy,핑크판타지,Female,28/10/2018,My Doll,8,8,Yes
PIXY,픽시,Female,24/02/2021,ALLART,5,6,Yes
Playback,플레이백,Female,25/06/2015,Coridel,5,4,No
Precious,프레셔스,Female,23/09/2020,Umi,5,5,Yes
PRIMROSE,프림로즈,Female,13/03/2023,AO,1,2,Yes
PRISMA,프리즈마,Female,31/10/2020,UnionWave,5,5,Yes
Pristin,프리스틴,Female,21/03/2017,Pledis,10,10,No
PRITTI-G,프리티지,Female,31/08/2021,Enterrobang,6,6,Yes
Pungdeng-E,풍뎅이,Female,11/12/2013,DOMA,3,3,Hiatus
Purple Kiss,퍼플키스,Female,15/03/2021,RBW,6,7,Yes
PURPLEBECK,퍼플백,Female,24/06/2019,Majesty,5,5,Yes
Queenz Eye,퀸즈아이,Female,24/10/2022,Big Mountain,6,6,Yes
Rainbow,레인보우,Female,12/11/2009,DSP,7,7,No
RAINZ,레인즈,Male,12/10/2017,(Genie),7,7,No
Rania,라니아,Female,06/04/2011,DR,5,8,No
Red Velvet,레드벨벳,Female,01/08/2014,SM,5,4,Yes
REDSQUARE,레드스퀘어,Female,19/05/2020,About,5,5,Yes
Road Boyz,로드 보이즈,Male,17/11/2015,Coconut,5,5,No
Rocket Punch,로켓펀치,Female,07/08/2019,Woollim,6,6,Yes
Rockit Girl,락킷걸,Female,30/05/2019,Rolling,2,2,Yes
ROMEO,로미오,Male,04/11/2015,CT,7,7,Yes
Rose Finger,로즈핑거,Female,03/10/2018,YC:Bros,4,4,No
Rubber Soul,러버소울,Female,10/02/2015,Happy Tribe,2,3,No
Rumble-G,럼블지,Female,14/07/2021,Winnerzone,4,4,Yes
S.E.S,에스.이.에스,Female,01/11/1997,SM,3,3,No
S.I.S,에스아이에스,Female,25/08/2017,Double X,6,6,Yes
Saturday,세러데이,Female,18/07/2018,SD,6,7,Yes
SECHSKIES,젝스키스,Male,15/04/1997,DSP| YG,5,6,Yes
SECRET,시크릿,Female,13/10/2009,TS,3,4,No
SECRET NUMBER,시크릿넘버,Female,19/05/2020,Vine,5,5,Yes
Seven O'Clock,세븐어클락,Male,16/03/2017,Staro| KDH,5,6,No
Seventeen,세븐틴,Male,26/05/2015,Pledis,13,13,Yes
SF9,에스에프나인,Male,05/10/2016,FNC,9,9,Yes
SG Wannabe,SG 워너비,Male,20/01/2004,B2M,3,4,Yes
Sha Sha,샤샤,Female,27/02/2018,Major Ent,6,6,No
SHINee,샤이니,Male,25/05/2008,SM,4,5,Yes
Shinhwa,신화,Male,24/03/1998,SM| Good| Shinhwa,6,6,Yes
SIGMA,시그마,Male,26/01/2021,Pluswin,4,4,Yes
Signal,시그널,Male,28/08/2019,J-Star,4,4,Yes
SISTAR,씨스타,Female,06/03/2010,Starship,4,4,No
SKYE,스카이,Male,26/10/2017,MMO,6,8,Yes
SKYLE,스카이리,Female,04/08/2021,Good Luck,4,4,Yes
Snuper,스누퍼,Male,16/11/2015,Widmay,6,6,No
Solia,쏠리아,Female,17/08/2021,Space,5,5,No
Sonamoo,소나무,Female,29/12/2014,TS,5,7,No
Spectrum,스펙트럼,Male,09/05/2018,WYNN,6,7,No
Speed,스피드,Male,15/01/2013,MBK,7,7,No
SPICA,스피카,Female,07/02/2012,CJ E&M,5,5,No
SS501,더블에스오공일,Male,08/06/2005,DSP| CI,5,5,No
STAYC,스테이씨,Female,12/11/2020,Hi-Up,6,6,Yes
Stellar,스텔라,Female,28/08/2011,Pascal,4,4,No
Stray Kids,스트레이 키즈,Male,25/03/2018,JYP,8,9,Yes
Sunny Hill,써니힐,Female,20/09/2007,Nega,4,5,No
Super Junior,슈퍼주니어,Male,06/11/2005,SM,11,12,Yes
SUPERKIND,슈퍼카인드,Male,20/06/2022,Deep Studio,7,7,Yes
SuperM,슈퍼엠,Male,04/10/2019,SM,7,7,Yes
Supernova,초신성,Male,21/09/2007,CJ E&M,5,6,Yes
Tahiti,타히티,Female,23/06/2012,J-line,5,6,No
T-ara,티아라,Female,29/07/2009,MBK,4,6,Hiatus
Target,타겟,Male,23/01/2018,TNS,7,7,Yes
Teen Top,틴탑,Male,09/07/2010,TOP Media,5,6,Yes
TEMPEST,템페스트,Male,02/03/2022,Yuehua,7,7,Yes
TFN,티에프앤,Male,11/01/2021,MLD,9,9,Yes
The Boyz,더보이즈,Male,31/12/2017,Cre.Ker,11,12,Yes
The Eastlight,더 이스트라이트,Male,03/11/2016,MediaLine,6,6,No
The Grace,천상지희,Female,29/04/2005,SM,3,4,No
The Legend,전설,Male,09/07/2014,SS,5,5,No
THE MAN BLK,더 맨 블랙,Male,15/11/2018,Stardium,10,10,Yes
Tiny-G,타이니지,Female,23/08/2012,GNG,3,4,No
TNX,티엔엑스,Male,17/05/2022,P NATION,6,6,Yes
TOO,티오오,Male,01/04/2020,n.CH,10,10,Yes
ToppDogg,탑독,Male,22/10/2013,Stardom| Hunus,5,13,No
TRACER,트레이서,Female,03/04/2022,Gleamedia,4,4,Yes
TRAX,트랙스,Male,20/07/2004,SM,2,4,No
TRCNG,티알씨엔지,Male,10/10/2017,TS,10,10,No
Treasure,트레저,Male,07/08/2020,YG,12,12,Yes
TREI,트레이,Male,19/02/2019,Banana,3,3,No
TRENDZ,트렌드지,Male,05/01/2022,Interpark,7,7,Yes
TRI.BE,트라이비,Female,17/02/2021,TR - Mellow,7,7,Yes
tripleS,트리플에스,Female,13/02/2023,MODHAUS,12,24,Yes
TST,일급비밀,Male,04/01/2017,JSL,5,7,Yes
Turbo,터보,Male,06/09/1995,MBK| Turbo Co.,3,2,Hiatus
TVXQ!,동방신기,Male,26/12/2003,SM,2,5,Yes
TWICE,트와이스,Female,20/10/2015,JYP,9,9,Yes
Two X,투엑스,Female,20/08/2012,J. Tune,4,5,No
TXT,투모로우바이투게더,Male,04/03/2019,Big Hit,5,5,Yes
U-KISS,유키스,Male,28/08/2008,NH Media,6,6,Yes
UNB,유앤비,Male,07/04/2018,Unit Culture,9,9,No
Uni.T,유니티,Female,18/05/2018,Unit Culture,8,9,No
Unicorn,유니콘,Female,03/09/2015,Cartoon Blue,4,5,No
UNIQ,유니크,Male,20/10/2014,Yuehua,5,5,Hiatus
UNVS,유니버스,Male,23/02/2020,CHITWN,5,5,Yes
UP10TION,업텐션,Male,10/09/2015,TOP Media,10,10,Yes
VANNER,배너,Male,14/02/2019,VT,5,5,Yes
Varsity,바시티,Male,05/01/2017,GKC,12,12,Yes
VAV,브이에이브이,Male,31/10/2015,A team,7,6,Yes
Verivery,베리베리,Male,01/09/2019,Jellyfish,7,7,Yes
VERMUDA,버뮤다,Male,13/07/2017,JJJ,5,5,Yes
VICTON,빅톤,Male,09/11/2016,Plan A,6,7,Yes
VIVIZ,비비지,Female,09/02/2022,Big Planet Made,3,3,Yes
VIXX,빅스,Male,24/05/2012,Jellyfish,4,6,Yes
VOISPER,보이스퍼,Male,23/02/2016,Evermore,4,4,Yes
VROMANCE,브로맨스,Male,12/06/2016,RBW,4,4,Yes
Wable,와블,Female,17/02/2016,Kiwi,2,2,Yes
Wanna One,워너원,Male,07/08/2017,YMC,11,11,No
Wanna.B,워너비,Female,17/11/2014,Zenith,5,4,No
Wassup,와썹,Female,07/08/2013,Mafia,7,7,No
We Girls,위걸스,Female,31/08/2018,Afternoon,8,8,Yes
We In The Zone,위인더존,Male,27/05/2019,Choon,5,5,No
WE:A,위아,Male,29/03/2023,Madewell,4,4,Yes
We;Na,위나,Female,05/09/2022,Shine E&M,4,4,Yes
Weeekly,위클리,Female,30/07/2020,Play M,6,7,Yes
Wei,위아이,Male,05/10/2020,OUI,6,6,Yes
Weki Meki,위키미키,Female,08/08/2017,Fantagio,8,8,Yes
WEUS,위어스,Male,03/04/2023,WEUS,7,8,Yes
WINNER,위너,Male,12/08/2014,YG,4,5,Yes
WJSN,우주소녀,Female,25/02/2016,Starship,10,12,Yes
